alewife alewives
alkali alkalies
alumnus alumni
amphora amphorae
analysis analyses
antenna antennae
arcanum arcana
ash ashes
atrium atria
automaton automata
axis axes
basis bases
basso bassi
beau beaux
bicentenary bicentennial
bookshelf bookshelves
brant brent
brother brethren
bund bunde
bus busses
cactus cacti
calf calves
cargo cargoes
chateau chateaux
child children
colon cola
concerto concerti
consortium consortia
corpus corpora
crematorium crematoria
crisis crises
criterion criteria
crux cruces
curriculum curricula
datum data
desperado desperadoes
diagnosis diagnoses
dictum dicta
diva dive
diverticulum diverticula
domino dominoes
duo dui
dwarf dwarves
echo echoes
elf elves
embargo embargoes
emphasis emphases
emporium emporia
equilibrium equilibria
eucalyptus eucalypti
fish fishes
flagellum flagella
flatfish flatfishes
fortis fortes
forum fora
fresco frescoes
fungus fungi
gas gasses
genus genera
go goes
goose geese
goy goyim
grandchild grandchildren
gymnasium gymnasia
half halves
hero heroes
herr herren
hobo hoboes
honorarium honoraria
hoof hooves
housewife housewives
hypothesis hypotheses
index indices
innuendo innuendoes
jewfish jewfishes
kibbutz kibbutzim
knife knives
krone kronen
larva larvae
leaf leave
leu lei
lev leva
lied lieder
life lives
lira lire
loaf loaves
locus loci
louse lice
lumen lumina
maestro maestri
mango mangoes
markka markkaa
mass masse
maximum maxima
medium media
memorandum memoranda
midwife midwives
millennium millennia
minutia minutiae
moratorium moratoria
mosquito mosquitoes
mouse mice
negro negroes
neurosis neuroses
no noes
nucleus nuclei
oasis oases
octopus octopi
optimum optima
os ora
othman ottoman
ox oxen
parenthesis parentheses
pea pease
penny pence
persona personae
phalange phalanx
phenomenon phenomena
phylum phyla
pipefish pipefishes
plasmodium plasmodia
pons pontes
potato potatoes
prognosis prognoses
prosthesis prostheses
protozoan protozoa
quiz quizzes
ramus rami
referendum referenda
rom roma
rumen rumina
salesperson salespeople
scarf scarves
self selves
serum sera
sheaf sheaves
shelf shelves
sol sole
solo soli
spectrum spectra
stadium stadia
stepchild stepchildren
stimulus stimuli
stratum strata
tableau tableaux
tax taxis
thesis theses
thief thieves
tomato tomatoes
tooth teeth
tornado tornadoes
torpedo torpedoes
vertebra vertebrae
veto vetoes
vis vires
vita vitae
volcano volcanoes
wife wives
wolf wolves
zero zeroes
$END
