---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''HAVE''), HasIPA(1), Usage(3811 )
Form(''IN''), HasIPA(1), Usage(14027 )
Form(''THE''), HasIPA(1), Usage(54519 )
Form(''TO''), HasIPA(1), Usage(19072 )
Form(''FIRST''), HasIPA(1), Usage(907 )
Form(''OF''), HasIPA(1), Usage(25863 )
Form(''THIS''), HasIPA(1), Usage(3363 )
Form(''AND''), HasIPA(1), Usage(25137 )
Form(''THAT''), HasIPA(1), Usage(8979 )
Form(''IT''), HasIPA(1), Usage(8665 )
Form(''WAS''), HasIPA(1), Usage(7883 )
Form(''A''), HasIPA(1), Usage(18794 )
Form(''BY''), HasIPA(1), Usage(3997 )
Form(''HAVING''), HasIPA(1), Usage(371 )
Form(''ON''), HasIPA(1), Usage(4914 )
Form(''AN''), HasIPA(1), Usage(2467 )
Form(''FROM''), HasIPA(1), Usage(3909 )
Form(''HIM''), HasIPA(1), Usage(3134 )
Form(''GIVING''), HasIPA(1), Usage(68 )
Form(''UP''), HasIPA(1), Usage(1453 )
Form(''PART''), HasIPA(1), Usage(545 )
Form(''HIS''), HasIPA(1), Usage(6184 )
Form(''OWN''), HasIPA(1), Usage(638 )
Form(''MY''), HasIPA(1), Usage(2553 )
Form(''WHICH''), HasIPA(1), Usage(3691 )
Form(''THROUGH''), HasIPA(1), Usage(877 )
Form(''AS''), HasIPA(1), Usage(6137 )
Form(''DIFFERENT''), HasIPA(1), Usage(300 )
Form(''WE''), HasIPA(1), Usage(2878 )
Form(''BEEN''), HasIPA(1), Usage(2024 )
Form(''MAY''), HasIPA(1), Usage(906 )
Form(''HERE''), HasIPA(1), Usage(1004 )
Form(''DURING''), HasIPA(1), Usage(359 )
Form(''FIVE''), HasIPA(1), Usage(231 )
Form(''WERE''), HasIPA(1), Usage(2690 )
Form(''TOGETHER''), HasIPA(1), Usage(394 )
Form(''MOST''), HasIPA(1), Usage(911 )
Form(''BOTH''), HasIPA(1), Usage(418 )
Form(''ALL''), HasIPA(1), Usage(2852 )
Form(''SHALL''), HasIPA(1), Usage(399 )
Form(''EVER''), HasIPA(1), Usage(487 )
Form(''FOR''), HasIPA(1), Usage(5622 )
Form(''WITH''), HasIPA(1), Usage(6018 )
Form(''OUR''), HasIPA(1), Usage(1137 )
Form(''LONG''), HasIPA(1), Usage(928 )
Form(''THOSE''), HasIPA(1), Usage(634 )
Form(''THINK''), HasIPA(1), Usage(638 )
Form(''WILL''), HasIPA(1), Usage(1834 )
